,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,Men Estimate,Men Percent of total,Women Estimate,Women Percent of total,Poverty universe,Below poverty level Estimate,Below poverty level Percent of total
299,OH-1,OH,Ohio,1,541695,262456,48.5,279239,51.5,522774,61323,11.7
300,OH-2,OH,Ohio,2,557971,267271,47.9,290700,52.1,550012,65318,11.9
301,OH-3,OH,Ohio,3,560963,262190,46.7,298773,53.3,543140,87584,16.1
302,OH-4,OH,Ohio,4,542874,269636,49.7,273238,50.3,517764,53877,10.4
303,OH-5,OH,Ohio,5,549171,265489,48.3,283682,51.7,533728,49753,9.3
304,OH-6,OH,Ohio,6,545803,271382,49.7,274421,50.3,526363,78256,14.9
305,OH-7,OH,Ohio,7,557024,267916,48.1,289108,51.9,544781,55197,10.1
306,OH-8,OH,Ohio,8,546406,263947,48.3,282459,51.7,532437,53264,10.0
307,OH-9,OH,Ohio,9,545749,263532,48.3,282217,51.7,534835,89928,16.8
308,OH-10,OH,Ohio,10,552514,263435,47.7,289079,52.3,526770,71539,13.6
309,OH-11,OH,Ohio,11,524803,238090,45.4,286713,54.6,507302,107065,21.1
310,OH-12,OH,Ohio,12,585940,290618,49.6,295322,50.4,569339,49050,8.6
311,OH-13,OH,Ohio,13,559931,268927,48.0,291004,52.0,541535,80108,14.8
312,OH-14,OH,Ohio,14,553668,266077,48.1,287591,51.9,544116,36742,6.8
313,OH-15,OH,Ohio,15,586092,292487,49.9,293605,50.1,556465,61556,11.1
314,OH-16,OH,Ohio,16,553316,269087,48.6,284229,51.4,543064,33622,6.2
315,OK-1,OK,Oklahoma,1,565812,270452,47.8,295360,52.2,558168,62121,11.1
316,OK-2,OK,Oklahoma,2,564213,275370,48.8,288843,51.2,543589,91676,16.9
317,OK-3,OK,Oklahoma,3,571661,285869,50.0,285792,50.0,545818,71757,13.1
318,OK-4,OK,Oklahoma,4,589702,291854,49.5,297848,50.5,563986,66997,11.9
319,OK-5,OK,Oklahoma,5,561277,266722,47.5,294555,52.5,547860,72937,13.3
320,OR-1,OR,Oregon,1,606198,294448,48.6,311750,51.4,596872,48348,8.1
321,OR-2,OR,Oregon,2,619186,305421,49.3,313765,50.7,605564,73367,12.1
322,OR-3,OR,Oregon,3,627716,309299,49.3,318417,50.7,616973,65208,10.6
323,OR-4,OR,Oregon,4,638548,313807,49.1,324741,50.9,626815,96381,15.4
324,OR-5,OR,Oregon,5,606523,295492,48.7,311031,51.3,595610,60545,10.2
325,PA-1,PA,Pennsylvania,1,544860,264421,48.5,280439,51.5,537518,27607,5.1
326,PA-2,PA,Pennsylvania,2,496510,234087,47.1,262423,52.9,487446,105114,21.6
327,PA-3,PA,Pennsylvania,3,564612,253086,44.8,311526,55.2,538968,113844,21.1
328,PA-4,PA,Pennsylvania,4,543723,260436,47.9,283287,52.1,528636,28462,5.4
329,PA-5,PA,Pennsylvania,5,519983,243516,46.8,276467,53.2,498676,45199,9.1
330,PA-6,PA,Pennsylvania,6,522912,252469,48.3,270443,51.7,507935,39976,7.9
331,PA-7,PA,Pennsylvania,7,552078,267694,48.5,284384,51.5,533234,53161,10.0
332,PA-8,PA,Pennsylvania,8,535133,261619,48.9,273514,51.1,516034,59557,11.5
333,PA-9,PA,Pennsylvania,9,555775,277295,49.9,278480,50.1,528749,49237,9.3
334,PA-10,PA,Pennsylvania,10,552761,266462,48.2,286299,51.8,531726,46291,8.7
335,PA-11,PA,Pennsylvania,11,553568,269825,48.7,283743,51.3,543005,37367,6.9
336,PA-12,PA,Pennsylvania,12,551022,273160,49.6,277862,50.4,516051,66048,12.8
337,PA-13,PA,Pennsylvania,13,545111,268312,49.2,276799,50.8,523708,52637,10.1
338,PA-14,PA,Pennsylvania,14,551164,268241,48.7,282923,51.3,534212,50791,9.5
339,PA-15,PA,Pennsylvania,15,548615,278000,50.7,270615,49.3,519562,57901,11.1
340,PA-16,PA,Pennsylvania,16,539710,262719,48.7,276991,51.3,513587,64498,12.6
341,PA-17,PA,Pennsylvania,17,559285,270617,48.4,288668,51.6,552462,41481,7.5
342,PA-18,PA,Pennsylvania,18,544390,254384,46.7,290006,53.3,522202,71545,13.7
343,RI-1,RI,Rhode Island,1,395409,188916,47.8,206493,52.2,376196,49877,13.3
344,RI-2,RI,Rhode Island,2,407668,195852,48.0,211816,52.0,391434,33551,8.6
345,SC-1,SC,South Carolina,1,613912,295032,48.1,318880,51.9,605071,53615,8.9
346,SC-2,SC,South Carolina,2,537342,255658,47.6,281684,52.4,520411,57271,11.0
347,SC-3,SC,South Carolina,3,534772,258621,48.4,276151,51.6,517074,70663,13.7
348,SC-4,SC,South Carolina,4,533533,251842,47.2,281691,52.8,518231,50729,9.8
349,SC-5,SC,South Carolina,5,552247,262084,47.5,290163,52.5,541112,65432,12.1
350,SC-6,SC,South Carolina,6,506843,241997,47.7,264846,52.3,469768,95495,20.3
351,SC-7,SC,South Carolina,7,571428,265082,46.4,306346,53.6,558493,89683,16.1
352,SD-At-large,SD,South Dakota,At-large,647089,323519,50.0,323570,50.0,623323,73236,11.7
353,TN-1,TN,Tennessee,1,563918,271986,48.2,291932,51.8,549414,75115,13.7
354,TN-2,TN,Tennessee,2,583056,278806,47.8,304250,52.2,568291,67235,11.8
355,TN-3,TN,Tennessee,3,571456,274322,48.0,297134,52.0,554284,73597,13.3
356,TN-4,TN,Tennessee,4,590540,284223,48.1,306317,51.9,576455,71929,12.5
357,TN-5,TN,Tennessee,5,563797,267201,47.4,296596,52.6,545555,62163,11.4
358,TN-6,TN,Tennessee,6,591603,286118,48.4,305485,51.6,580485,63405,10.9
359,TN-7,TN,Tennessee,7,578288,283131,49.0,295157,51.0,561453,61291,10.9
360,TN-8,TN,Tennessee,8,525277,252231,48.0,273046,52.0,508600,59907,11.8
361,TN-9,TN,Tennessee,9,507231,229788,45.3,277443,54.7,494516,104034,21.0
362,TX-1,TX,Texas,1,511974,243891,47.6,268083,52.4,489794,66257,13.5
363,TX-2,TX,Texas,2,520180,252870,48.6,267310,51.4,513178,45949,9.0
364,TX-3,TX,Texas,3,563318,267900,47.6,295418,52.4,559484,31157,5.6
365,TX-4,TX,Texas,4,543354,264225,48.6,279129,51.4,527224,60598,11.5
366,TX-5,TX,Texas,5,480610,237717,49.5,242893,50.5,457691,49171,10.7
367,TX-6,TX,Texas,6,554709,265398,47.8,289311,52.2,548599,40104,7.3
368,TX-7,TX,Texas,7,448262,209156,46.7,239106,53.3,447412,32347,7.2
369,TX-8,TX,Texas,8,584039,292242,50.0,291797,50.0,554256,51546,9.3
370,TX-9,TX,Texas,9,445634,211591,47.5,234043,52.5,443690,60975,13.7
371,TX-10,TX,Texas,10,593629,288737,48.6,304892,51.4,583103,45323,7.8
372,TX-11,TX,Texas,11,542570,270606,49.9,271964,50.1,524915,56229,10.7
373,TX-12,TX,Texas,12,572411,275420,48.1,296991,51.9,560045,51359,9.2
374,TX-13,TX,Texas,13,493390,251525,51.0,241865,49.0,462703,54698,11.8
375,TX-14,TX,Texas,14,532153,266577,50.1,265576,49.9,501418,55633,11.1
376,TX-15,TX,Texas,15,435170,216790,49.8,218380,50.2,423944,69316,16.4
377,TX-16,TX,Texas,16,458940,227861,49.6,231079,50.4,446926,66463,14.9
378,TX-17,TX,Texas,17,550601,266019,48.3,284582,51.7,522495,86479,16.6
379,TX-18,TX,Texas,18,480387,233867,48.7,246520,51.3,462858,75981,16.4
380,TX-19,TX,Texas,19,509891,253073,49.6,256818,50.4,478854,73898,15.4
381,TX-20,TX,Texas,20,549483,266701,48.5,282782,51.5,538664,78203,14.5
382,TX-21,TX,Texas,21,622228,300234,48.3,321994,51.7,609561,62856,10.3
383,TX-22,TX,Texas,22,577164,283653,49.1,293511,50.9,572542,37033,6.5
384,TX-23,TX,Texas,23,507547,255762,50.4,251785,49.6,495087,64674,13.1
385,TX-24,TX,Texas,24,503766,241559,48.0,262207,52.0,501043,27589,5.5
386,TX-25,TX,Texas,25,570238,286160,50.2,284078,49.8,538733,49268,9.1
387,TX-26,TX,Texas,26,605249,293998,48.6,311251,51.4,596433,37984,6.4
388,TX-27,TX,Texas,27,517267,249089,48.2,268178,51.8,504347,66523,13.2
389,TX-28,TX,Texas,28,434305,211486,48.7,222819,51.3,431020,71215,16.5
390,TX-29,TX,Texas,29,369239,184052,49.8,185187,50.2,368373,53056,14.4
391,TX-30,TX,Texas,30,479082,226629,47.3,252453,52.7,466444,80570,17.3
392,TX-31,TX,Texas,31,602236,291279,48.4,310957,51.6,588627,45276,7.7
393,TX-32,TX,Texas,32,505867,241389,47.7,264478,52.3,501485,33312,6.6
394,TX-33,TX,Texas,33,360226,177253,49.2,182973,50.8,356444,57028,16.0
395,TX-34,TX,Texas,34,424863,210491,49.5,214372,50.5,410889,76627,18.6
396,TX-35,TX,Texas,35,532967,267072,50.1,265895,49.9,519488,89634,17.3
397,TX-36,TX,Texas,36,519385,256534,49.4,262851,50.6,500765,53382,10.7
398,UT-1,UT,Utah,1,521517,261025,50.1,260492,49.9,515287,40922,7.9
399,UT-2,UT,Utah,2,529608,266242,50.3,263366,49.7,518139,54116,10.4
400,UT-3,UT,Utah,3,517848,257021,49.6,260827,50.4,505535,48167,9.5
401,UT-4,UT,Utah,4,518368,257209,49.6,261159,50.4,513240,27894,5.4
402,VT-At-large,VT,Vermont,At-large,500274,244517,48.9,255757,51.1,478729,51013,10.7
403,VA-1,VA,Virginia,1,590281,288174,48.8,302107,51.2,575553,32713,5.7
404,VA-2,VA,Virginia,2,559397,278026,49.7,281371,50.3,525667,39039,7.4
405,VA-3,VA,Virginia,3,559137,265323,47.5,293814,52.5,534234,67289,12.6
406,VA-4,VA,Virginia,4,579606,277950,48.0,301656,52.0,552122,69142,12.5
407,VA-5,VA,Virginia,5,578531,277524,48.0,301007,52.0,549679,71010,12.9
408,VA-6,VA,Virginia,6,582756,278155,47.7,304601,52.3,551076,74487,13.5
409,VA-7,VA,Virginia,7,588061,278885,47.4,309176,52.6,579054,42425,7.3
410,VA-8,VA,Virginia,8,533417,259240,48.6,274177,51.4,528006,29010,5.5
411,VA-9,VA,Virginia,9,567315,281110,49.6,286205,50.4,537046,101298,18.9
412,VA-10,VA,Virginia,10,565197,278318,49.2,286879,50.8,561118,18701,3.3
413,VA-11,VA,Virginia,11,509988,252893,49.6,257095,50.4,503481,28904,5.7
414,WA-1,WA,Washington,1,519555,259298,49.9,260257,50.1,513626,31799,6.2
415,WA-2,WA,Washington,2,558321,277303,49.7,281018,50.3,547881,51230,9.4
416,WA-3,WA,Washington,3,544994,267783,49.1,277211,50.9,540961,46668,8.6
417,WA-4,WA,Washington,4,443137,219857,49.6,223280,50.4,436739,48302,11.1
418,WA-5,WA,Washington,5,551532,270788,49.1,280744,50.9,528622,71510,13.5
419,WA-6,WA,Washington,6,570991,286913,50.2,284078,49.8,555996,50470,9.1
420,WA-7,WA,Washington,7,600321,299820,49.9,300501,50.1,585893,51450,8.8
421,WA-8,WA,Washington,8,522952,255555,48.9,267397,51.1,518688,34677,6.7
422,WA-9,WA,Washington,9,499184,249316,49.9,249868,50.1,492776,44073,8.9
423,WA-10,WA,Washington,10,544552,269010,49.4,275542,50.6,533246,46965,8.8
424,WV-1,WV,West Virginia,1,486327,240272,49.4,246055,50.6,467069,68380,14.6
425,WV-2,WV,West Virginia,2,487208,238345,48.9,248863,51.1,477780,65445,13.7
426,WV-3,WV,West Virginia,3,457623,222773,48.7,234850,51.3,444168,88765,20.0
427,WI-1,WI,Wisconsin,1,539789,265317,49.2,274472,50.8,527799,43388,8.2
428,WI-2,WI,Wisconsin,2,577976,282335,48.8,295641,51.2,563251,59134,10.5
429,WI-3,WI,Wisconsin,3,566700,282813,49.9,283887,50.1,539696,65049,12.1
430,WI-4,WI,Wisconsin,4,493143,231471,46.9,261672,53.1,478705,89003,18.6
431,WI-5,WI,Wisconsin,5,558805,269326,48.2,289479,51.8,548155,34963,6.4
432,WI-6,WI,Wisconsin,6,556485,279627,50.2,276858,49.8,535367,44006,8.2
433,WI-7,WI,Wisconsin,7,552651,276779,50.1,275872,49.9,542845,48200,8.9
434,WI-8,WI,Wisconsin,8,556205,275043,49.4,281162,50.6,544705,41391,7.6
435,WY-At-large,WY,Wyoming,At-large,433644,219788,50.7,213856,49.3,422610,42105,10.0
