Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , 18-29 Age Estimate , 18-29 Age  Margin of error (MOE) , Age 18-29 Percent of total , 18-29 Age Percent of total margin of error (MOE) , 30-44 Age Estimate , 30-44 Age Margin of error (MOE) , 30-44 Age Percent of total , 30-44 Age Percent of total margin of error (MOE) , 45-64 Age Estimate , 45-64 Age Margin of error (MOE) , 45-64 Age Percent of total , 45-64 Age Percent of total margin of error (MOE) , 65+ Age Estimate , 65+ Age Margin of error (MOE) , 65+ Age Percent of total , 65+ Age Percent of total margin of error (MOE) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AZ,Arizona,8," 599,423 "," 9,645 "," 100,261 "," 6,074 ", 16.7 , 0.9 ," 131,595 "," 6,104 ", 22.0 , 1.0 ," 189,019 "," 5,970 ", 31.5 , 0.9 ," 178,548 "," 6,383 ", 29.8 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AZ,Arizona,9," 562,791 "," 12,216 "," 160,510 "," 7,893 ", 28.5 , 1.3 ," 141,929 "," 7,600 ", 25.2 , 1.1 ," 170,213 "," 5,766 ", 30.2 , 0.8 ," 90,139 "," 4,645 ", 16.0 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AR,Arkansas,1," 548,710 "," 3,198 "," 106,231 "," 1,874 ", 19.4 , 0.3 ," 128,779 "," 2,847 ", 23.5 , 0.5 ," 183,306 "," 2,815 ", 33.4 , 0.5 ," 130,394 "," 1,660 ", 23.8 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AR,Arkansas,2," 570,220 "," 3,398 "," 123,752 "," 2,603 ", 21.7 , 0.4 ," 138,990 "," 1,946 ", 24.4 , 0.3 ," 186,961 "," 2,171 ", 32.8 , 0.3 ," 120,517 "," 1,500 ", 21.1 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AR,Arkansas,3," 573,113 "," 5,357 "," 134,210 "," 2,608 ", 23.4 , 0.4 ," 143,907 "," 3,362 ", 25.1 , 0.5 ," 179,259 "," 3,721 ", 31.3 , 0.5 ," 115,737 "," 1,859 ", 20.2 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AR,Arkansas,4," 532,069 "," 4,667 "," 105,713 "," 2,805 ", 19.9 , 0.5 ," 110,275 "," 2,756 ", 20.7 , 0.5 ," 179,824 "," 3,878 ", 33.8 , 0.6 ," 136,257 "," 1,877 ", 25.6 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CA,California,1," 553,702 "," 4,675 "," 112,448 "," 3,044 ", 20.3 , 0.5 ," 109,556 "," 2,817 ", 19.8 , 0.5 ," 177,833 "," 3,037 ", 32.1 , 0.5 ," 153,865 "," 2,632 ", 27.8 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CA,California,2," 534,951 "," 6,691 "," 86,946 "," 3,479 ", 16.3 , 0.6 ," 110,075 "," 3,356 ", 20.6 , 0.6 ," 187,221 "," 3,994 ", 35.0 , 0.7 ," 150,709 "," 3,841 ", 28.2 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CA,California,3," 504,299 "," 7,222 "," 128,483 "," 4,750 ", 25.5 , 0.8 ," 117,545 "," 3,888 ", 23.3 , 0.7 ," 158,659 "," 4,464 ", 31.5 , 0.7 ," 99,612 "," 3,064 ", 19.8 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CA,California,4," 573,118 "," 5,649 "," 91,864 "," 3,096 ", 16.0 , 0.5 ," 121,814 "," 3,416 ", 21.3 , 0.5 ," 203,386 "," 3,603 ", 35.5 , 0.6 ," 156,054 "," 2,984 ", 27.2 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CA,California,5," 508,369 "," 9,829 "," 96,576 "," 5,121 ", 19.0 , 0.9 ," 116,637 "," 5,832 ", 22.9 , 1.0 ," 172,776 "," 5,373 ", 34.0 , 0.9 ," 122,380 "," 4,195 ", 24.1 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,CA,California,6," 506,434 "," 10,206 "," 124,359 "," 5,205 ", 24.6 , 0.9 ," 140,392 "," 5,545 ", 27.7 , 1.0 ," 152,039 "," 6,561 ", 30.0 , 1.0 ," 89,644 "," 4,058 ", 17.7 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CA,California,7," 537,436 "," 8,063 "," 102,634 "," 5,131 ", 19.1 , 0.8 ," 131,950 "," 4,910 ", 24.6 , 0.9 ," 186,789 "," 5,301 ", 34.8 , 0.8 ," 116,063 "," 3,726 ", 21.6 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
