Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , 18-29 Age Estimate , 18-29 Age  Margin of error (MOE) , Age 18-29 Percent of total , 18-29 Age Percent of total margin of error (MOE) , 30-44 Age Estimate , 30-44 Age Margin of error (MOE) , 30-44 Age Percent of total , 30-44 Age Percent of total margin of error (MOE) , 45-64 Age Estimate , 45-64 Age Margin of error (MOE) , 45-64 Age Percent of total , 45-64 Age Percent of total margin of error (MOE) , 65+ Age Estimate , 65+ Age Margin of error (MOE) , 65+ Age Percent of total , 65+ Age Percent of total margin of error (MOE) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,CA,California,51," 445,034 "," 11,226 "," 133,614 "," 7,085 ", 30.0 , 1.3 ," 114,319 "," 6,348 ", 25.7 , 1.3 ," 124,841 "," 4,988 ", 28.1 , 0.9 ," 72,260 "," 3,770 ", 16.2 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,CA,California,52," 546,843 "," 12,471 "," 125,910 "," 7,856 ", 23.0 , 1.1 ," 142,801 "," 5,552 ", 26.1 , 0.9 ," 170,845 "," 5,399 ", 31.2 , 0.9 ," 107,287 "," 5,028 ", 19.6 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,CA,California,53," 563,962 "," 15,636 "," 150,613 "," 8,147 ", 26.7 , 1.0 ," 157,739 "," 7,624 ", 28.0 , 1.1 ," 162,309 "," 6,469 ", 28.8 , 1.1 ," 93,301 "," 5,485 ", 16.5 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,CO,Colorado,1," 619,349 "," 5,507 "," 152,364 "," 3,423 ", 24.6 , 0.5 ," 196,712 "," 4,641 ", 31.8 , 0.6 ," 172,432 "," 3,317 ", 27.8 , 0.5 ," 97,841 "," 1,875 ", 15.8 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,CO,Colorado,2," 619,285 "," 6,451 "," 152,308 "," 4,355 ", 24.6 , 0.6 ," 147,134 "," 3,653 ", 23.8 , 0.6 ," 199,517 "," 3,843 ", 32.2 , 0.6 ," 120,326 "," 2,901 ", 19.4 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,CO,Colorado,3," 565,901 "," 5,796 "," 109,523 "," 3,646 ", 19.4 , 0.6 ," 129,319 "," 4,084 ", 22.9 , 0.6 ," 189,023 "," 3,119 ", 33.4 , 0.5 ," 138,036 "," 2,306 ", 24.4 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,CO,Colorado,4," 598,599 "," 5,986 "," 117,673 "," 3,198 ", 19.7 , 0.5 ," 156,792 "," 3,744 ", 26.2 , 0.6 ," 208,777 "," 4,667 ", 34.9 , 0.6 ," 115,357 "," 2,335 ", 19.3 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,CO,Colorado,5," 603,967 "," 3,639 "," 145,787 "," 1,745 ", 24.1 , 0.3 ," 153,131 "," 2,743 ", 25.4 , 0.4 ," 192,123 "," 2,518 ", 31.8 , 0.4 ," 112,926 "," 1,631 ", 18.7 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,CO,Colorado,6," 567,801 "," 9,080 "," 113,465 "," 5,196 ", 20.0 , 0.8 ," 156,336 "," 4,996 ", 27.5 , 0.8 ," 200,412 "," 4,735 ", 35.3 , 0.6 ," 97,588 "," 2,458 ", 17.2 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,CO,Colorado,7," 576,138 "," 8,222 "," 124,489 "," 3,527 ", 21.6 , 0.5 ," 162,759 "," 4,792 ", 28.3 , 0.7 ," 180,307 "," 4,682 ", 31.3 , 0.7 ," 108,583 "," 2,562 ", 18.8 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,CT,Connecticut,1," 523,004 "," 7,034 "," 99,742 "," 3,599 ", 19.1 , 0.6 ," 117,559 "," 5,022 ", 22.5 , 0.9 ," 184,595 "," 4,256 ", 35.3 , 0.8 ," 121,108 "," 3,712 ", 23.2 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,CT,Connecticut,2," 548,572 "," 5,593 "," 113,923 "," 3,208 ", 20.8 , 0.5 ," 111,653 "," 3,326 ", 20.4 , 0.6 ," 198,909 "," 3,653 ", 36.3 , 0.6 ," 124,087 "," 2,594 ", 22.6 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,CT,Connecticut,3," 535,024 "," 7,312 "," 117,352 "," 4,495 ", 21.9 , 0.7 ," 114,121 "," 4,110 ", 21.3 , 0.8 ," 182,421 "," 4,593 ", 34.1 , 0.7 ," 121,130 "," 3,528 ", 22.6 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,CT,Connecticut,4," 496,370 "," 6,476 "," 91,904 "," 3,073 ", 18.5 , 0.5 ," 103,645 "," 3,839 ", 20.9 , 0.7 ," 191,712 "," 3,875 ", 38.6 , 0.7 ," 109,109 "," 3,480 ", 22.0 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,CT,Connecticut,5," 511,395 "," 9,390 "," 97,510 "," 5,568 ", 19.1 , 1.0 ," 105,985 "," 5,898 ", 20.7 , 1.1 ," 189,558 "," 5,652 ", 37.1 , 1.0 ," 118,342 "," 5,364 ", 23.1 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,DE,Delaware,At-large," 720,867 "," 3,971 "," 140,123 "," 2,059 ", 19.4 , 0.2 ," 153,037 "," 2,253 ", 21.2 , 0.2 ," 249,503 "," 1,863 ", 34.6 , 0.2 ," 178,204 "," 1,133 ", 24.7 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,DC,District of Columbia,At-large," 526,393 "," 4,612 "," 145,434 "," 2,101 ", 27.6 , 0.3 ," 165,893 "," 3,139 ", 31.5 , 0.5 ," 131,762 "," 1,970 ", 25.0 , 0.3 ," 83,304 ", 935 , 15.8 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,FL,Florida,1," 601,423 "," 2,752 "," 129,762 "," 1,974 ", 21.6 , 0.3 ," 142,425 "," 2,452 ", 23.7 , 0.4 ," 198,441 "," 2,572 ", 33.0 , 0.4 ," 130,795 "," 1,592 ", 21.7 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,FL,Florida,2," 573,718 "," 6,050 "," 112,942 "," 4,481 ", 19.7 , 0.7 ," 125,347 "," 3,509 ", 21.8 , 0.6 ," 188,569 "," 4,211 ", 32.9 , 0.6 ," 146,860 "," 3,294 ", 25.6 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,FL,Florida,3," 579,993 "," 6,726 "," 143,031 "," 4,107 ", 24.7 , 0.6 ," 129,575 "," 4,054 ", 22.3 , 0.7 ," 180,729 "," 4,511 ", 31.2 , 0.7 ," 126,658 "," 3,425 ", 21.8 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,FL,Florida,4," 614,794 "," 10,052 "," 118,537 "," 4,921 ", 19.3 , 0.7 ," 151,537 "," 5,527 ", 24.6 , 0.7 ," 210,228 "," 5,646 ", 34.2 , 0.7 ," 134,492 "," 3,473 ", 21.9 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,FL,Florida,5," 541,992 "," 11,225 "," 141,638 "," 5,820 ", 26.1 , 0.9 ," 133,383 "," 5,122 ", 24.6 , 0.8 ," 171,317 "," 5,632 ", 31.6 , 0.9 ," 95,654 "," 3,756 ", 17.6 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,FL,Florida,6," 621,566 "," 6,917 "," 98,635 "," 3,510 ", 15.9 , 0.5 ," 119,235 "," 4,060 ", 19.2 , 0.6 ," 207,124 "," 3,944 ", 33.3 , 0.6 ," 196,572 "," 3,298 ", 31.6 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,FL,Florida,7," 581,583 "," 10,621 "," 148,112 "," 6,084 ", 25.5 , 0.8 ," 143,853 "," 6,107 ", 24.7 , 0.8 ," 179,955 "," 5,309 ", 30.9 , 0.9 ," 109,663 "," 3,213 ", 18.9 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,FL,Florida,8," 610,604 "," 4,145 "," 92,846 "," 3,171 ", 15.2 , 0.5 ," 111,790 "," 2,810 ", 18.3 , 0.4 ," 214,531 "," 2,788 ", 35.1 , 0.4 ," 191,437 "," 1,943 ", 31.4 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,FL,Florida,9," 644,898 "," 15,477 "," 137,347 "," 7,314 ", 21.3 , 0.9 ," 166,586 "," 7,579 ", 25.8 , 1.0 ," 202,251 "," 7,297 ", 31.4 , 0.8 ," 138,714 "," 5,379 ", 21.5 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,FL,Florida,10," 546,157 "," 12,769 "," 121,477 "," 6,579 ", 22.2 , 1.0 ," 151,934 "," 6,786 ", 27.8 , 1.0 ," 183,021 "," 6,589 ", 33.5 , 1.0 ," 89,725 "," 3,624 ", 16.4 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,FL,Florida,11," 652,135 "," 10,786 "," 82,551 "," 4,736 ", 12.7 , 0.6 ," 96,277 "," 4,430 ", 14.8 , 0.6 ," 196,690 "," 5,794 ", 30.2 , 0.7 ," 276,617 "," 4,547 ", 42.4 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,FL,Florida,12," 605,983 "," 7,435 "," 83,666 "," 3,251 ", 13.8 , 0.5 ," 126,316 "," 4,117 ", 20.8 , 0.6 ," 210,053 "," 4,669 ", 34.7 , 0.7 ," 185,948 "," 4,093 ", 30.7 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,FL,Florida,13," 584,889 "," 8,338 "," 100,325 "," 3,385 ", 17.2 , 0.5 ," 116,090 "," 4,369 ", 19.8 , 0.6 ," 205,103 "," 4,066 ", 35.1 , 0.6 ," 163,371 "," 4,063 ", 27.9 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,FL,Florida,14," 534,225 "," 9,792 "," 122,106 "," 5,345 ", 22.9 , 0.9 ," 143,475 "," 6,213 ", 26.9 , 1.0 ," 169,888 "," 4,532 ", 31.8 , 0.8 ," 98,756 "," 4,268 ", 18.5 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,FL,Florida,15," 578,715 "," 14,070 "," 126,879 "," 7,794 ", 21.9 , 1.1 ," 132,369 "," 7,346 ", 22.9 , 1.2 ," 192,852 "," 7,065 ", 33.3 , 0.9 ," 126,615 "," 6,035 ", 21.9 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,FL,Florida,16," 638,769 "," 8,875 "," 91,026 "," 4,273 ", 14.3 , 0.6 ," 118,164 "," 5,099 ", 18.5 , 0.7 ," 211,715 "," 5,537 ", 33.1 , 0.8 ," 217,864 "," 5,133 ", 34.1 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,FL,Florida,17," 615,104 "," 10,351 "," 81,894 "," 4,972 ", 13.3 , 0.7 ," 101,025 "," 4,920 ", 16.4 , 0.7 ," 183,910 "," 5,539 ", 29.9 , 0.9 ," 248,275 "," 6,286 ", 40.4 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,FL,Florida,18," 599,873 "," 10,324 "," 89,563 "," 3,758 ", 14.9 , 0.5 ," 111,342 "," 5,016 ", 18.6 , 0.7 ," 204,824 "," 5,460 ", 34.1 , 0.7 ," 194,144 "," 4,978 ", 32.4 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,FL,Florida,19," 631,233 "," 11,072 "," 84,363 "," 4,470 ", 13.4 , 0.6 ," 98,336 "," 4,459 ", 15.6 , 0.6 ," 192,617 "," 4,738 ", 30.5 , 0.6 ," 255,917 "," 4,861 ", 40.5 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,FL,Florida,20," 507,613 "," 13,423 "," 115,723 "," 7,122 ", 22.8 , 1.2 ," 128,477 "," 7,880 ", 25.3 , 1.3 ," 165,897 "," 6,129 ", 32.7 , 1.1 ," 97,516 "," 4,925 ", 19.2 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,FL,Florida,21," 546,101 "," 11,927 "," 86,152 "," 5,378 ", 15.8 , 0.8 ," 99,308 "," 4,822 ", 18.2 , 0.7 ," 171,770 "," 5,160 ", 31.5 , 0.8 ," 188,871 "," 5,818 ", 34.6 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,FL,Florida,22," 534,846 "," 11,346 "," 78,782 "," 6,379 ", 14.7 , 1.1 ," 113,545 "," 5,461 ", 21.2 , 0.9 ," 190,781 "," 7,317 ", 35.7 , 1.2 ," 151,738 "," 6,326 ", 28.4 , 1.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,FL,Florida,23," 510,212 "," 9,952 "," 92,504 "," 5,457 ", 18.1 , 1.0 ," 117,316 "," 6,449 ", 23.0 , 1.2 ," 176,163 "," 7,134 ", 34.5 , 1.2 ," 124,229 "," 6,214 ", 24.3 , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,FL,Florida,24," 477,697 "," 12,311 "," 110,275 "," 6,019 ", 23.1 , 1.0 ," 123,658 "," 6,023 ", 25.9 , 1.1 ," 149,155 "," 6,631 ", 31.2 , 1.1 ," 94,609 "," 4,676 ", 19.8 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,FL,Florida,25," 453,055 "," 14,226 "," 89,229 "," 5,884 ", 19.7 , 1.2 ," 86,737 "," 6,169 ", 19.1 , 1.2 ," 148,024 "," 6,975 ", 32.7 , 1.0 ," 129,065 "," 6,090 ", 28.5 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,FL,Florida,26," 476,033 "," 12,380 "," 104,526 "," 6,181 ", 22.0 , 1.1 ," 107,894 "," 5,865 ", 22.7 , 1.1 ," 162,965 "," 7,102 ", 34.2 , 1.2 ," 100,648 "," 4,754 ", 21.1 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,FL,Florida,27," 464,604 "," 13,439 "," 84,074 "," 5,994 ", 18.1 , 1.0 ," 110,349 "," 5,506 ", 23.8 , 1.1 ," 152,249 "," 6,860 ", 32.8 , 1.0 ," 117,932 "," 5,209 ", 25.4 , 1.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,GA,Georgia,1," 550,713 "," 4,548 "," 124,272 "," 3,079 ", 22.6 , 0.5 ," 144,285 "," 3,395 ", 26.2 , 0.6 ," 173,960 "," 3,026 ", 31.6 , 0.5 ," 108,196 "," 1,545 ", 19.6 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,GA,Georgia,2," 498,322 "," 5,387 "," 116,812 "," 2,905 ", 23.4 , 0.5 ," 118,050 "," 3,261 ", 23.7 , 0.6 ," 158,501 "," 3,915 ", 31.8 , 0.7 ," 104,959 "," 2,882 ", 21.1 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,GA,Georgia,3," 548,941 "," 6,659 "," 116,928 "," 4,050 ", 21.3 , 0.6 ," 126,353 "," 4,425 ", 23.0 , 0.7 ," 192,813 "," 4,587 ", 35.1 , 0.7 ," 112,847 "," 2,895 ", 20.6 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,GA,Georgia,4," 527,938 "," 10,870 "," 116,027 "," 5,843 ", 22.0 , 0.9 ," 131,388 "," 5,906 ", 24.9 , 1.0 ," 188,968 "," 5,755 ", 35.8 , 0.9 ," 91,555 "," 3,887 ", 17.3 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,GA,Georgia,5," 587,385 "," 11,293 "," 173,012 "," 6,625 ", 29.5 , 0.9 ," 167,225 "," 7,137 ", 28.5 , 1.1 ," 162,199 "," 7,225 ", 27.6 , 1.1 ," 84,949 "," 4,183 ", 14.5 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,GA,Georgia,6," 496,468 "," 9,646 "," 80,827 "," 5,399 ", 16.3 , 1.0 ," 129,906 "," 5,718 ", 26.2 , 1.1 ," 192,548 "," 7,109 ", 38.8 , 1.2 ," 93,187 "," 4,208 ", 18.8 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,GA,Georgia,7," 486,845 "," 13,303 "," 101,857 "," 5,393 ", 20.9 , 0.8 ," 126,492 "," 6,935 ", 26.0 , 1.0 ," 180,871 "," 5,794 ", 37.2 , 1.0 ," 77,625 "," 3,270 ", 15.9 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,GA,Georgia,8," 527,338 "," 5,981 "," 117,467 "," 3,462 ", 22.3 , 0.5 ," 129,584 "," 4,370 ", 24.6 , 0.8 ," 171,971 "," 4,371 ", 32.6 , 0.7 ," 108,316 "," 2,245 ", 20.5 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,GA,Georgia,9," 556,967 "," 6,033 "," 110,102 "," 3,048 ", 19.8 , 0.5 ," 119,775 "," 3,899 ", 21.5 , 0.6 ," 185,692 "," 3,318 ", 33.3 , 0.5 ," 141,398 "," 2,019 ", 25.4 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,GA,Georgia,10," 565,803 "," 9,414 "," 135,915 "," 4,008 ", 24.0 , 0.6 ," 130,573 "," 4,728 ", 23.1 , 0.8 ," 189,498 "," 6,378 ", 33.5 , 0.9 ," 109,817 "," 3,299 ", 19.4 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,GA,Georgia,11," 559,687 "," 9,450 "," 122,052 "," 5,283 ", 21.8 , 0.8 ," 143,609 "," 5,115 ", 25.7 , 0.8 ," 193,753 "," 5,906 ", 34.6 , 0.8 ," 100,273 "," 3,469 ", 17.9 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,GA,Georgia,12," 540,482 "," 5,219 "," 132,914 "," 2,728 ", 24.6 , 0.5 ," 132,283 "," 3,570 ", 24.5 , 0.6 ," 172,888 "," 3,918 ", 32.0 , 0.7 ," 102,397 "," 2,323 ", 18.9 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,GA,Georgia,13," 523,476 "," 12,223 "," 114,667 "," 6,389 ", 21.9 , 1.0 ," 141,009 "," 6,960 ", 26.9 , 1.0 ," 185,343 "," 6,093 ", 35.4 , 1.1 ," 82,457 "," 3,953 ", 15.8 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,GA,Georgia,14," 516,434 "," 4,331 "," 107,349 "," 2,831 ", 20.8 , 0.5 ," 122,568 "," 3,407 ", 23.7 , 0.6 ," 180,827 "," 3,122 ", 35.0 , 0.6 ," 105,690 "," 2,247 ", 20.5 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,HI,Hawaii,1," 509,992 "," 8,672 "," 101,825 "," 4,076 ", 20.0 , 0.6 ," 127,924 "," 4,072 ", 25.1 , 0.6 ," 156,279 "," 4,206 ", 30.6 , 0.7 ," 123,964 "," 3,132 ", 24.3 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,HI,Hawaii,2," 506,514 "," 7,345 "," 104,080 "," 3,678 ", 20.5 , 0.7 ," 120,799 "," 4,338 ", 23.8 , 0.7 ," 160,905 "," 4,235 ", 31.8 , 0.7 ," 120,730 "," 3,416 ", 23.8 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,ID,Idaho,1," 661,724 "," 6,207 "," 133,621 "," 4,585 ", 20.2 , 0.6 ," 156,558 "," 4,524 ", 23.7 , 0.7 ," 218,173 "," 4,432 ", 33.0 , 0.6 ," 153,372 "," 3,346 ", 23.2 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,ID,Idaho,2," 590,690 "," 6,236 "," 138,735 "," 4,087 ", 23.5 , 0.7 ," 152,336 "," 4,578 ", 25.8 , 0.7 ," 177,354 "," 4,331 ", 30.0 , 0.6 ," 122,265 "," 2,978 ", 20.7 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,IL,Illinois,1," 524,114 "," 13,385 "," 110,093 "," 6,804 ", 21.0 , 1.0 ," 119,884 "," 5,162 ", 22.9 , 0.9 ," 183,041 "," 6,282 ", 34.9 , 1.0 ," 111,096 "," 5,625 ", 21.2 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,IL,Illinois,2," 497,132 "," 10,186 "," 105,903 "," 5,941 ", 21.3 , 1.0 ," 115,395 "," 4,366 ", 23.2 , 0.9 ," 166,767 "," 6,499 ", 33.5 , 1.1 ," 109,067 "," 4,621 ", 21.9 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,IL,Illinois,3," 479,004 "," 11,273 "," 96,642 "," 6,130 ", 20.2 , 1.0 ," 116,060 "," 5,721 ", 24.2 , 1.1 ," 166,940 "," 6,269 ", 34.9 , 1.0 ," 99,362 "," 4,898 ", 20.7 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,IL,Illinois,4," 410,804 "," 10,402 "," 114,380 "," 5,775 ", 27.8 , 1.2 ," 124,459 "," 6,352 ", 30.3 , 1.3 ," 112,782 "," 5,533 ", 27.5 , 1.2 ," 59,183 "," 4,147 ", 14.4 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,IL,Illinois,5," 545,831 "," 13,594 "," 138,945 "," 8,057 ", 25.5 , 1.2 ," 163,400 "," 5,664 ", 29.9 , 1.0 ," 153,707 "," 6,422 ", 28.2 , 0.9 ," 89,779 "," 4,811 ", 16.4 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,IL,Illinois,6," 523,796 "," 7,397 "," 89,576 "," 5,048 ", 17.1 , 0.9 ," 115,611 "," 4,602 ", 22.1 , 0.9 ," 203,470 "," 5,326 ", 38.8 , 0.9 ," 115,139 "," 4,881 ", 22.0 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,IL,Illinois,7," 522,767 "," 13,446 "," 133,525 "," 6,280 ", 25.5 , 1.0 ," 142,887 "," 6,274 ", 27.3 , 1.1 ," 152,762 "," 7,965 ", 29.2 , 1.2 ," 93,593 "," 5,236 ", 17.9 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,IL,Illinois,8," 442,009 "," 9,089 "," 97,404 "," 5,699 ", 22.0 , 1.1 ," 105,383 "," 4,469 ", 23.8 , 1.0 ," 149,266 "," 6,187 ", 33.8 , 1.2 ," 89,956 "," 4,978 ", 20.4 , 1.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,IL,Illinois,9," 498,242 "," 10,167 "," 91,913 "," 5,903 ", 18.4 , 1.0 ," 116,876 "," 6,036 ", 23.5 , 1.1 ," 169,788 "," 6,411 ", 34.1 , 1.0 ," 119,665 "," 4,522 ", 24.0 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,IL,Illinois,10," 468,255 "," 7,926 "," 99,179 "," 4,240 ", 21.2 , 0.8 ," 100,085 "," 4,751 ", 21.4 , 0.9 ," 164,232 "," 3,921 ", 35.1 , 0.7 ," 104,759 "," 3,885 ", 22.4 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,IL,Illinois,11," 472,244 "," 8,696 "," 104,470 "," 5,752 ", 22.1 , 1.0 ," 115,271 "," 5,530 ", 24.4 , 1.1 ," 167,620 "," 5,421 ", 35.5 , 1.1 ," 84,883 "," 4,587 ", 18.0 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,IL,Illinois,12," 528,398 "," 3,128 "," 105,402 "," 1,996 ", 19.9 , 0.3 ," 123,904 "," 2,484 ", 23.4 , 0.5 ," 181,641 "," 2,884 ", 34.4 , 0.5 ," 117,451 "," 2,050 ", 22.2 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,IL,Illinois,13," 539,012 "," 6,187 "," 143,933 "," 4,431 ", 26.7 , 0.7 ," 119,427 "," 3,975 ", 22.2 , 0.6 ," 165,322 "," 3,823 ", 30.7 , 0.7 ," 110,330 "," 3,197 ", 20.5 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
