,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,18-29 Age Estimate,18-29 Age Percent of total,30-44 Age Estimate,30-44 Age Percent of total,45-64 Age Estimate,45-64 Age Percent of total,65+ Age Estimate,65+ Age Percent of total
148,IL-16,IL,Illinois,16,520730,103375,19.9,109416,21.0,184379,35.4,123560,23.7
149,IL-17,IL,Illinois,17,512994,101060,19.7,111726,21.8,174240,34.0,125968,24.6
150,IL-18,IL,Illinois,18,531334,95626,18.0,121408,22.8,181679,34.2,132621,25.0
151,IN-1,IN,Indiana,1,537218,106269,19.8,125653,23.4,188611,35.1,116685,21.7
152,IN-2,IN,Indiana,2,522778,110898,21.2,118188,22.6,175795,33.6,117897,22.6
153,IN-3,IN,Indiana,3,540022,111370,20.6,129229,23.9,184607,34.2,114816,21.3
154,IN-4,IN,Indiana,4,567094,133208,23.5,127470,22.5,189264,33.4,117152,20.7
155,IN-5,IN,Indiana,5,573500,111187,19.4,147605,25.7,199662,34.8,115046,20.1
156,IN-6,IN,Indiana,6,549035,115411,21.0,116898,21.3,189917,34.6,126809,23.1
157,IN-7,IN,Indiana,7,521076,128612,24.7,133507,25.6,167449,32.1,91508,17.6
158,IN-8,IN,Indiana,8,549149,110466,20.1,125872,22.9,188624,34.3,124187,22.6
159,IN-9,IN,Indiana,9,575308,132059,23.0,135378,23.5,189052,32.9,118819,20.7
160,IA-1,IA,Iowa,1,580187,120677,20.8,129269,22.3,191851,33.1,138390,23.9
161,IA-2,IA,Iowa,2,581525,126756,21.8,130205,22.4,191051,32.9,133513,23.0
162,IA-3,IA,Iowa,3,601044,121087,20.1,155881,25.9,201136,33.5,122940,20.5
163,IA-4,IA,Iowa,4,564463,122947,21.8,118353,21.0,182759,32.4,140404,24.9
164,KS-1,KS,Kansas,1,502712,127140,25.3,106367,21.2,154679,30.8,114526,22.8
165,KS-2,KS,Kansas,2,538594,119299,22.2,123546,22.9,172970,32.1,122779,22.8
166,KS-3,KS,Kansas,3,534532,103498,19.4,139817,26.2,184931,34.6,106286,19.9
167,KS-4,KS,Kansas,4,515676,107482,20.8,122563,23.8,172400,33.4,113231,22.0
168,KY-1,KY,Kentucky,1,552530,112558,20.4,119362,21.6,187927,34.0,132683,24.0
169,KY-2,KY,Kentucky,2,577362,121167,21.0,134374,23.3,198804,34.4,123017,21.3
170,KY-3,KY,Kentucky,3,553926,117509,21.2,132285,23.9,185157,33.4,118975,21.5
171,KY-4,KY,Kentucky,4,565232,109560,19.4,137967,24.4,201182,35.6,116523,20.6
172,KY-5,KY,Kentucky,5,537877,102630,19.1,123765,23.0,189523,35.2,121959,22.7
173,KY-6,KY,Kentucky,6,581992,139582,24.0,135939,23.4,192089,33.0,114382,19.7
174,LA-1,LA,Louisiana,1,594231,118153,19.9,143712,24.2,203742,34.3,128624,21.6
175,LA-2,LA,Louisiana,2,587115,124974,21.3,151730,25.8,196900,33.5,113511,19.3
176,LA-3,LA,Louisiana,3,577604,122302,21.2,146926,25.4,193990,33.6,114386,19.8
177,LA-4,LA,Louisiana,4,559310,119926,21.4,138312,24.7,178958,32.0,122114,21.8
178,LA-5,LA,Louisiana,5,555804,113240,20.4,138593,24.9,182823,32.9,121148,21.8
179,LA-6,LA,Louisiana,6,585015,138843,23.7,145438,24.9,186354,31.9,114380,19.6
180,ME-1,ME,Maine,1,546625,91423,16.7,120900,22.1,196768,36.0,137534,25.2
181,ME-2,ME,Maine,2,524036,90205,17.2,106404,20.3,191578,36.6,135849,25.9
182,MD-1,MD,Maryland,1,567926,102678,18.1,117878,20.8,209151,36.8,138219,24.3
183,MD-2,MD,Maryland,2,560167,120269,21.5,143100,25.5,189658,33.9,107140,19.1
184,MD-3,MD,Maryland,3,545892,118771,21.8,138350,25.3,177240,32.5,111531,20.4
185,MD-4,MD,Maryland,4,503398,93014,18.5,125012,24.8,185566,36.9,99806,19.8
186,MD-5,MD,Maryland,5,556897,121543,21.8,123848,22.2,208003,37.4,103503,18.6
187,MD-6,MD,Maryland,6,523698,100520,19.2,123665,23.6,186857,35.7,112656,21.5
188,MD-7,MD,Maryland,7,528398,115519,21.9,121941,23.1,180162,34.1,110776,21.0
189,MD-8,MD,Maryland,8,533774,95529,17.9,126983,23.8,190413,35.7,120849,22.6
190,MA-1,MA,Massachusetts,1,568024,119473,21.0,119459,21.0,198117,34.9,130975,23.1
191,MA-2,MA,Massachusetts,2,558962,127590,22.8,117040,20.9,196871,35.2,117461,21.0
192,MA-3,MA,Massachusetts,3,543580,113187,20.8,124132,22.8,204678,37.7,101583,18.7
193,MA-4,MA,Massachusetts,4,559943,103075,18.4,119792,21.4,212866,38.0,124210,22.2
194,MA-5,MA,Massachusetts,5,535109,107925,20.2,129135,24.1,180011,33.6,118038,22.1
195,MA-6,MA,Massachusetts,6,577241,101032,17.5,119170,20.6,215167,37.3,141872,24.6
196,MA-7,MA,Massachusetts,7,558430,197433,35.4,143411,25.7,135309,24.2,82277,14.7
197,MA-8,MA,Massachusetts,8,561241,113602,20.2,138733,24.7,189771,33.8,119135,21.2
198,MA-9,MA,Massachusetts,9,573274,97060,16.9,109998,19.2,204076,35.6,162140,28.3
199,MI-1,MI,Michigan,1,564858,97821,17.3,106924,18.9,197514,35.0,162599,28.8
200,MI-2,MI,Michigan,2,551323,123650,22.4,126229,22.9,183561,33.3,117883,21.4
201,MI-3,MI,Michigan,3,551028,118568,21.5,135861,24.7,184569,33.5,112030,20.3
202,MI-4,MI,Michigan,4,554938,115498,20.8,114323,20.6,188632,34.0,136485,24.6
203,MI-5,MI,Michigan,5,520558,101137,19.4,110301,21.2,185117,35.6,124003,23.8
204,MI-6,MI,Michigan,6,541981,117971,21.8,117761,21.7,182640,33.7,123609,22.8
205,MI-7,MI,Michigan,7,548462,99343,18.1,121286,22.1,197979,36.1,129854,23.7
206,MI-8,MI,Michigan,8,554462,128782,23.2,119354,21.5,195443,35.2,110883,20.0
207,MI-9,MI,Michigan,9,552114,117050,21.2,129459,23.4,190454,34.5,115151,20.9
208,MI-10,MI,Michigan,10,553804,91918,16.6,118907,21.5,212452,38.4,130527,23.6
209,MI-11,MI,Michigan,11,534817,96984,18.1,114133,21.3,203487,38.0,120213,22.5
210,MI-12,MI,Michigan,12,526943,144577,27.4,114484,21.7,166439,31.6,101443,19.3
211,MI-13,MI,Michigan,13,474739,110377,23.3,107407,22.6,161381,34.0,95574,20.1
212,MI-14,MI,Michigan,14,512851,109658,21.4,117113,22.8,171524,33.4,114556,22.3
213,MN-1,MN,Minnesota,1,500330,103708,20.7,114362,22.9,165683,33.1,116577,23.3
214,MN-2,MN,Minnesota,2,511914,96331,18.8,131892,25.8,185390,36.2,98301,19.2
215,MN-3,MN,Minnesota,3,517834,80909,15.6,124874,24.1,199945,38.6,112106,21.6
216,MN-4,MN,Minnesota,4,510862,109706,21.5,130270,25.5,167528,32.8,103358,20.2
217,MN-5,MN,Minnesota,5,517155,137964,26.7,150173,29.0,141709,27.4,87309,16.9
218,MN-6,MN,Minnesota,6,525551,104564,19.9,137834,26.2,190089,36.2,93064,17.7
219,MN-7,MN,Minnesota,7,495727,91877,18.5,106463,21.5,167305,33.7,130082,26.2
220,MN-8,MN,Minnesota,8,527541,92761,17.6,112017,21.2,185789,35.2,136974,26.0
221,MS-1,MS,Mississippi,1,577880,126850,22.0,136703,23.7,193135,33.4,121192,21.0
222,MS-2,MS,Mississippi,2,523479,117121,22.4,123974,23.7,175829,33.6,106555,20.4
223,MS-3,MS,Mississippi,3,559913,120854,21.6,140729,25.1,175562,31.4,122768,21.9
224,MS-4,MS,Mississippi,4,579386,125374,21.6,142348,24.6,189661,32.7,122003,21.1
225,MO-1,MO,Missouri,1,549361,130558,23.8,139392,25.4,173891,31.7,105520,19.2
226,MO-2,MO,Missouri,2,575828,93035,16.2,129833,22.5,210481,36.6,142479,24.7
227,MO-3,MO,Missouri,3,602748,113183,18.8,148292,24.6,213686,35.5,127587,21.2
228,MO-4,MO,Missouri,4,584925,140461,24.0,129155,22.1,185648,31.7,129661,22.2
229,MO-5,MO,Missouri,5,573775,127201,22.2,142534,24.8,185355,32.3,118685,20.7
230,MO-6,MO,Missouri,6,583457,112443,19.3,141987,24.3,201080,34.5,127947,21.9
231,MO-7,MO,Missouri,7,595559,128623,21.6,136612,22.9,192439,32.3,137885,23.2
232,MO-8,MO,Missouri,8,567717,105465,18.6,124173,21.9,198629,35.0,139450,24.6
233,MT-At-large,MT,Montana,At-large,823668,162487,19.7,190761,23.2,270899,32.9,199521,24.2
234,NE-1,NE,Nebraska,1,473676,115814,24.5,111892,23.6,147670,31.2,98300,20.8
235,NE-2,NE,Nebraska,2,467041,98743,21.1,130827,28.0,152604,32.7,84867,18.2
236,NE-3,NE,Nebraska,3,439543,81629,18.6,95106,21.6,144924,33.0,117884,26.8
237,NV-1,NV,Nevada,1,418811,102489,24.5,97757,23.3,128524,30.7,90041,21.5
238,NV-2,NV,Nevada,2,531489,108295,20.4,122316,23.0,178178,33.5,122700,23.1
239,NV-3,NV,Nevada,3,607915,114455,18.8,165543,27.2,201412,33.1,126505,20.8
240,NV-4,NV,Nevada,4,516951,107683,20.8,129145,25.0,170032,32.9,110091,21.3
241,NH-1,NH,New Hampshire,1,540224,111039,20.6,117000,21.7,193985,35.9,118200,21.9
242,NH-2,NH,New Hampshire,2,529588,94001,17.7,110296,20.8,202379,38.2,122912,23.2
243,NJ-1,NJ,New Jersey,1,542034,111555,20.6,128857,23.8,190108,35.1,111514,20.6
244,NJ-2,NJ,New Jersey,2,531339,93137,17.5,110952,20.9,192550,36.2,134700,25.4
245,NJ-3,NJ,New Jersey,3,570276,103401,18.1,121577,21.3,204055,35.8,141243,24.8
246,NJ-4,NJ,New Jersey,4,539643,92318,17.1,109571,20.3,192765,35.7,144989,26.9
247,NJ-5,NJ,New Jersey,5,527932,89385,16.9,108059,20.5,204536,38.7,125952,23.9
248,NJ-6,NJ,New Jersey,6,502463,116015,23.1,108102,21.5,179916,35.8,98430,19.6
249,NJ-7,NJ,New Jersey,7,527076,88778,16.8,105529,20.0,216418,41.1,116351,22.1
250,NJ-8,NJ,New Jersey,8,425604,104194,24.5,121068,28.4,128201,30.1,72141,17.0
251,NJ-9,NJ,New Jersey,9,481499,99676,20.7,111457,23.1,169027,35.1,101339,21.0
252,NJ-10,NJ,New Jersey,10,496051,113595,22.9,125958,25.4,165331,33.3,91167,18.4
253,NJ-11,NJ,New Jersey,11,548734,92894,16.9,122467,22.3,205816,37.5,127557,23.2
254,NJ-12,NJ,New Jersey,12,505683,96015,19.0,108763,21.5,190033,37.6,110872,21.9
255,NM-1,NM,New Mexico,1,514775,109072,21.2,124471,24.2,166781,32.4,114451,22.2
256,NM-2,NM,New Mexico,2,484702,111415,23.0,110639,22.8,144518,29.8,118130,24.4
257,NM-3,NM,New Mexico,3,507907,95645,18.8,121837,24.0,162932,32.1,127493,25.1
258,NY-1,NY,New York,1,530436,100287,18.9,107433,20.3,196082,37.0,126634,23.9
259,NY-2,NY,New York,2,515987,103396,20.0,114796,22.2,192105,37.2,105690,20.5
260,NY-3,NY,New York,3,521235,84043,16.1,94788,18.2,201571,38.7,140833,27.0
261,NY-4,NY,New York,4,506457,97115,19.2,114081,22.5,175392,34.6,119869,23.7
262,NY-5,NY,New York,5,501784,108297,21.6,116210,23.2,177019,35.3,100258,20.0
263,NY-6,NY,New York,6,448065,79930,17.8,102886,23.0,155921,34.8,109328,24.4
264,NY-7,NY,New York,7,446196,118165,26.5,128013,28.7,126083,28.3,73935,16.6
