Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Men Estimate , Men Margin of error (MOE) , Men Percent of total , Men Percent of total margin of error (MOE) , Women Estimate , Women Margin of error (MOE) , Women Percent of total , Women Percent of total margin of error (MOE) ,Poverty universe1,Poverty universe margin of error (MOE), Below poverty level Estimate , Below poverty level Margin of error (MOE) , Below poverty level Percent of total , Below poverty level Percent of total margin of error (MOE) ,,,,,,,,,,,
100,FL,Florida,12," 605,983 "," 7,435 "," 285,091 "," 5,160 ", 47.0 , 0.5 ," 320,892 "," 4,659 ", 53.0 , 0.5 ," 596,985 "," 8,029 "," 61,058 "," 6,193 ", 10.2 , 1.0 ,,,,,,,,,,,
101,FL,Florida,13," 584,889 "," 8,338 "," 281,217 "," 5,570 ", 48.1 , 0.6 ," 303,672 "," 5,138 ", 51.9 , 0.6 ," 574,243 "," 8,562 "," 60,632 "," 4,956 ", 10.6 , 0.8 ,,,,,,,,,,,
102,FL,Florida,14," 534,225 "," 9,792 "," 253,933 "," 6,070 ", 47.5 , 0.7 ," 280,292 "," 6,369 ", 52.5 , 0.7 ," 523,819 "," 9,807 "," 69,743 "," 6,227 ", 13.3 , 1.2 ,,,,,,,,,,,
103,FL,Florida,15," 578,715 "," 14,070 "," 278,594 "," 8,002 ", 48.1 , 0.9 ," 300,121 "," 9,761 ", 51.9 , 0.9 ," 570,615 "," 14,134 "," 65,321 "," 5,263 ", 11.4 , 1.0 ,,,,,,,,,,,
104,FL,Florida,16," 638,769 "," 8,875 "," 302,288 "," 5,301 ", 47.3 , 0.5 ," 336,481 "," 5,308 ", 52.7 , 0.5 ," 631,712 "," 9,165 "," 57,125 "," 5,957 ", 9.0 , 0.9 ,,,,,,,,,,,
105,FL,Florida,17," 615,104 "," 10,351 "," 301,114 "," 6,586 ", 49.0 , 0.6 ," 313,990 "," 5,995 ", 51.0 , 0.6 ," 602,735 "," 10,560 "," 67,861 "," 5,953 ", 11.3 , 1.0 ,,,,,,,,,,,
106,FL,Florida,18," 599,873 "," 10,324 "," 288,462 "," 6,292 ", 48.1 , 0.6 ," 311,411 "," 6,081 ", 51.9 , 0.6 ," 594,476 "," 10,232 "," 54,001 "," 5,749 ", 9.1 , 1.0 ,,,,,,,,,,,
107,FL,Florida,19," 631,233 "," 11,072 "," 300,597 "," 6,705 ", 47.6 , 0.5 ," 330,636 "," 6,262 ", 52.4 , 0.5 ," 622,071 "," 11,240 "," 57,652 "," 6,585 ", 9.3 , 1.0 ,,,,,,,,,,,
108,FL,Florida,20," 507,613 "," 13,423 "," 242,726 "," 8,320 ", 47.8 , 1.0 ," 264,887 "," 8,344 ", 52.2 , 1.0 ," 495,390 "," 13,574 "," 73,896 "," 7,702 ", 14.9 , 1.5 ,,,,,,,,,,,
109,FL,Florida,21," 546,101 "," 11,927 "," 255,769 "," 7,359 ", 46.8 , 0.8 ," 290,332 "," 7,763 ", 53.2 , 0.8 ," 542,489 "," 12,049 "," 44,811 "," 5,414 ", 8.3 , 1.0 ,,,,,,,,,,,
110,FL,Florida,22," 534,846 "," 11,346 "," 265,302 "," 8,012 ", 49.6 , 1.0 ," 269,544 "," 7,255 ", 50.4 , 1.0 ," 529,036 "," 11,323 "," 45,187 "," 4,716 ", 8.5 , 0.9 ,,,,,,,,,,,
111,FL,Florida,23," 510,212 "," 9,952 "," 242,283 "," 6,817 ", 47.5 , 0.9 ," 267,929 "," 6,850 ", 52.5 , 0.9 ," 508,324 "," 9,907 "," 49,339 "," 6,037 ", 9.7 , 1.2 ,,,,,,,,,,,
112,FL,Florida,24," 477,697 "," 12,311 "," 220,770 "," 7,873 ", 46.2 , 1.1 ," 256,927 "," 8,157 ", 53.8 , 1.1 ," 467,414 "," 12,178 "," 77,269 "," 6,544 ", 16.5 , 1.3 ,,,,,,,,,,,
113,FL,Florida,25," 453,055 "," 14,226 "," 212,439 "," 8,749 ", 46.9 , 1.1 ," 240,616 "," 8,781 ", 53.1 , 1.1 ," 447,653 "," 14,511 "," 49,424 "," 6,201 ", 11.0 , 1.3 ,,,,,,,,,,,
114,FL,Florida,26," 476,033 "," 12,380 "," 225,950 "," 8,012 ", 47.5 , 1.1 ," 250,083 "," 8,125 ", 52.5 , 1.1 ," 467,075 "," 12,635 "," 53,344 "," 5,587 ", 11.4 , 1.2 ,,,,,,,,,,,
115,FL,Florida,27," 464,604 "," 13,439 "," 222,276 "," 7,920 ", 47.8 , 1.1 ," 242,328 "," 8,897 ", 52.2 , 1.1 ," 457,395 "," 13,727 "," 51,044 "," 5,596 ", 11.2 , 1.2 ,,,,,,,,,,,
116,GA,Georgia,1," 550,713 "," 4,548 "," 265,885 "," 2,718 ", 48.3 , 0.3 ," 284,828 "," 2,860 ", 51.7 , 0.3 ," 528,280 "," 5,250 "," 70,331 "," 5,318 ", 13.3 , 1.0 ,,,,,,,,,,,
117,GA,Georgia,2," 498,322 "," 5,387 "," 237,183 "," 3,504 ", 47.6 , 0.4 ," 261,139 "," 3,278 ", 52.4 , 0.4 ," 464,769 "," 6,477 "," 98,551 "," 5,334 ", 21.2 , 1.1 ,,,,,,,,,,,
118,GA,Georgia,3," 548,941 "," 6,659 "," 261,012 "," 4,228 ", 47.5 , 0.4 ," 287,929 "," 3,917 ", 52.5 , 0.4 ," 537,649 "," 6,953 "," 65,079 "," 6,681 ", 12.1 , 1.2 ,,,,,,,,,,,
119,GA,Georgia,4," 527,938 "," 10,870 "," 243,040 "," 6,151 ", 46.0 , 0.8 ," 284,898 "," 7,319 ", 54.0 , 0.8 ," 523,057 "," 11,019 "," 51,138 "," 7,189 ", 9.8 , 1.4 ,,,,,,,,,,,
120,GA,Georgia,5," 587,385 "," 11,293 "," 276,291 "," 7,125 ", 47.0 , 0.8 ," 311,094 "," 7,229 ", 53.0 , 0.8 ," 551,428 "," 10,563 "," 88,065 "," 6,214 ", 16.0 , 1.1 ,,,,,,,,,,,
121,GA,Georgia,6," 496,468 "," 9,646 "," 243,742 "," 6,623 ", 49.1 , 0.8 ," 252,726 "," 5,560 ", 50.9 , 0.8 ," 493,937 "," 9,745 "," 22,372 "," 3,337 ", 4.5 , 0.7 ,,,,,,,,,,,
122,GA,Georgia,7," 486,845 "," 13,303 "," 226,855 "," 8,058 ", 46.6 , 0.9 ," 259,990 "," 7,695 ", 53.4 , 0.9 ," 482,823 "," 12,947 "," 34,298 "," 5,183 ", 7.1 , 1.1 ,,,,,,,,,,,
123,GA,Georgia,8," 527,338 "," 5,981 "," 251,135 "," 3,949 ", 47.6 , 0.5 ," 276,203 "," 3,673 ", 52.4 , 0.5 ," 508,862 "," 5,981 "," 92,521 "," 7,761 ", 18.2 , 1.5 ,,,,,,,,,,,
124,GA,Georgia,9," 556,967 "," 6,033 "," 270,985 "," 3,640 ", 48.7 , 0.4 ," 285,982 "," 3,770 ", 51.3 , 0.4 ," 545,726 "," 6,692 "," 56,373 "," 5,495 ", 10.3 , 1.0 ,,,,,,,,,,,
125,GA,Georgia,10," 565,803 "," 9,414 "," 272,442 "," 5,808 ", 48.2 , 0.5 ," 293,361 "," 5,357 ", 51.8 , 0.5 ," 542,122 "," 9,805 "," 71,163 "," 5,506 ", 13.1 , 1.0 ,,,,,,,,,,,
126,GA,Georgia,11," 559,687 "," 9,450 "," 265,122 "," 5,627 ", 47.4 , 0.6 ," 294,565 "," 5,791 ", 52.6 , 0.6 ," 548,550 "," 9,464 "," 44,203 "," 4,630 ", 8.1 , 0.8 ,,,,,,,,,,,
127,GA,Georgia,12," 540,482 "," 5,219 "," 263,096 "," 3,497 ", 48.7 , 0.4 ," 277,386 "," 3,165 ", 51.3 , 0.4 ," 507,512 "," 6,151 "," 83,972 "," 7,268 ", 16.5 , 1.4 ,,,,,,,,,,,
128,GA,Georgia,13," 523,476 "," 12,223 "," 234,458 "," 6,929 ", 44.8 , 0.9 ," 289,018 "," 8,239 ", 55.2 , 0.9 ," 518,694 "," 12,244 "," 43,146 "," 5,467 ", 8.3 , 1.1 ,,,,,,,,,,,
129,GA,Georgia,14," 516,434 "," 4,331 "," 247,683 "," 2,845 ", 48.0 , 0.4 ," 268,751 "," 3,258 ", 52.0 , 0.4 ," 504,547 "," 5,250 "," 57,895 "," 4,939 ", 11.5 , 1.0 ,,,,,,,,,,,
130,HI,Hawaii,1," 509,992 "," 8,672 "," 259,092 "," 5,083 ", 50.8 , 0.5 ," 250,900 "," 4,877 ", 49.2 , 0.5 ," 495,018 "," 8,329 "," 31,466 "," 3,295 ", 6.4 , 0.7 ,,,,,,,,,,,
131,HI,Hawaii,2," 506,514 "," 7,345 "," 254,001 "," 4,620 ", 50.1 , 0.5 ," 252,513 "," 4,178 ", 49.9 , 0.5 ," 491,721 "," 7,300 "," 43,163 "," 4,412 ", 8.8 , 0.9 ,,,,,,,,,,,
132,ID,Idaho,1," 661,724 "," 6,207 "," 327,753 "," 5,059 ", 49.5 , 0.5 ," 333,971 "," 4,357 ", 50.5 , 0.5 ," 646,145 "," 6,210 "," 62,534 "," 6,067 ", 9.7 , 0.9 ,,,,,,,,,,,
133,ID,Idaho,2," 590,690 "," 6,236 "," 295,212 "," 5,152 ", 50.0 , 0.6 ," 295,478 "," 3,922 ", 50.0 , 0.6 ," 582,159 "," 6,291 "," 68,775 "," 4,390 ", 11.8 , 0.8 ,,,,,,,,,,,
134,IL,Illinois,1," 524,114 "," 13,385 "," 239,139 "," 7,454 ", 45.6 , 0.7 ," 284,975 "," 8,063 ", 54.4 , 0.7 ," 514,916 "," 13,300 "," 74,766 "," 6,112 ", 14.5 , 1.1 ,,,,,,,,,,,
135,IL,Illinois,2," 497,132 "," 10,186 "," 220,603 "," 6,737 ", 44.4 , 0.9 ," 276,529 "," 6,684 ", 55.6 , 0.9 ," 489,594 "," 10,384 "," 77,321 "," 5,257 ", 15.8 , 1.1 ,,,,,,,,,,,
136,IL,Illinois,3," 479,004 "," 11,273 "," 239,389 "," 6,460 ", 50.0 , 0.7 ," 239,615 "," 6,524 ", 50.0 , 0.7 ," 470,227 "," 11,262 "," 40,182 "," 5,112 ", 8.5 , 1.0 ,,,,,,,,,,,
137,IL,Illinois,4," 410,804 "," 10,402 "," 198,815 "," 7,114 ", 48.4 , 1.0 ," 211,989 "," 6,146 ", 51.6 , 1.0 ," 408,610 "," 10,340 "," 43,427 "," 4,585 ", 10.6 , 1.1 ,,,,,,,,,,,
138,IL,Illinois,5," 545,831 "," 13,594 "," 264,796 "," 8,109 ", 48.5 , 0.8 ," 281,035 "," 8,297 ", 51.5 , 0.8 ," 536,884 "," 13,472 "," 38,711 "," 3,691 ", 7.2 , 0.6 ,,,,,,,,,,,
139,IL,Illinois,6," 523,796 "," 7,397 "," 256,062 "," 5,351 ", 48.9 , 0.7 ," 267,734 "," 5,108 ", 51.1 , 0.7 ," 515,795 "," 7,621 "," 25,904 "," 3,065 ", 5.0 , 0.6 ,,,,,,,,,,,
140,IL,Illinois,7," 522,767 "," 13,446 "," 245,563 "," 9,110 ", 47.0 , 1.0 ," 277,204 "," 7,769 ", 53.0 , 1.0 ," 499,676 "," 13,736 "," 89,468 "," 6,066 ", 17.9 , 1.2 ,,,,,,,,,,,
141,IL,Illinois,8," 442,009 "," 9,089 "," 210,434 "," 5,697 ", 47.6 , 0.9 ," 231,575 "," 6,321 ", 52.4 , 0.9 ," 437,858 "," 9,140 "," 27,635 "," 3,758 ", 6.3 , 0.9 ,,,,,,,,,,,
142,IL,Illinois,9," 498,242 "," 10,167 "," 242,188 "," 7,306 ", 48.6 , 0.9 ," 256,054 "," 6,090 ", 51.4 , 0.9 ," 482,383 "," 10,028 "," 49,348 "," 5,158 ", 10.2 , 1.0 ,,,,,,,,,,,
143,IL,Illinois,10," 468,255 "," 7,926 "," 228,987 "," 4,795 ", 48.9 , 0.5 ," 239,268 "," 4,646 ", 51.1 , 0.5 ," 449,762 "," 7,925 "," 31,798 "," 3,661 ", 7.1 , 0.8 ,,,,,,,,,,,
144,IL,Illinois,11," 472,244 "," 8,696 "," 230,365 "," 5,674 ", 48.8 , 0.7 ," 241,879 "," 5,102 ", 51.2 , 0.7 ," 466,570 "," 8,626 "," 30,188 "," 2,910 ", 6.5 , 0.6 ,,,,,,,,,,,
145,IL,Illinois,12," 528,398 "," 3,128 "," 258,312 "," 2,310 ", 48.9 , 0.3 ," 270,086 "," 2,115 ", 51.1 , 0.3 ," 510,485 "," 3,777 "," 72,726 "," 4,616 ", 14.2 , 0.9 ,,,,,,,,,,,
146,IL,Illinois,13," 539,012 "," 6,187 "," 262,945 "," 4,266 ", 48.8 , 0.5 ," 276,067 "," 3,617 ", 51.2 , 0.5 ," 503,603 "," 6,790 "," 81,940 "," 4,980 ", 16.3 , 1.0 ,,,,,,,,,,,
147,IL,Illinois,14," 525,729 "," 7,412 "," 258,410 "," 4,578 ", 49.2 , 0.5 ," 267,319 "," 4,608 ", 50.8 , 0.5 ," 523,009 "," 7,427 "," 22,704 "," 3,536 ", 4.3 , 0.7 ,,,,,,,,,,,
148,IL,Illinois,15," 532,371 "," 4,362 "," 263,271 "," 2,729 ", 49.5 , 0.4 ," 269,100 "," 3,299 ", 50.5 , 0.4 ," 509,784 "," 4,771 "," 63,091 "," 3,990 ", 12.4 , 0.8 ,,,,,,,,,,,
149,IL,Illinois,16," 520,730 "," 4,681 "," 258,813 "," 3,145 ", 49.7 , 0.4 ," 261,917 "," 2,998 ", 50.3 , 0.4 ," 504,555 "," 5,001 "," 45,055 "," 3,902 ", 8.9 , 0.8 ,,,,,,,,,,,
150,IL,Illinois,17," 512,994 "," 5,263 "," 250,502 "," 3,650 ", 48.8 , 0.5 ," 262,492 "," 3,575 ", 51.2 , 0.5 ," 492,760 "," 5,854 "," 66,654 "," 4,576 ", 13.5 , 0.9 ,,,,,,,,,,,
151,IL,Illinois,18," 531,334 "," 6,741 "," 256,746 "," 4,529 ", 48.3 , 0.4 ," 274,588 "," 3,650 ", 51.7 , 0.4 ," 513,739 "," 6,655 "," 50,132 "," 4,636 ", 9.8 , 0.9 ,,,,,,,,,,,
152,IN,Indiana,1," 537,218 "," 2,969 "," 259,331 "," 2,327 ", 48.3 , 0.3 ," 277,887 "," 2,044 ", 51.7 , 0.3 ," 522,771 "," 3,495 "," 58,981 "," 4,778 ", 11.3 , 0.9 ,,,,,,,,,,,
153,IN,Indiana,2," 522,778 "," 3,982 "," 254,316 "," 2,859 ", 48.6 , 0.3 ," 268,462 "," 2,186 ", 51.4 , 0.3 ," 503,831 "," 4,488 "," 55,923 "," 4,411 ", 11.1 , 0.9 ,,,,,,,,,,,
154,IN,Indiana,3," 540,022 "," 2,746 "," 263,081 "," 1,600 ", 48.7 , 0.2 ," 276,941 "," 2,053 ", 51.3 , 0.2 ," 529,139 "," 3,149 "," 47,924 "," 3,848 ", 9.1 , 0.7 ,,,,,,,,,,,
155,IN,Indiana,4," 567,094 "," 4,245 "," 281,136 "," 2,864 ", 49.6 , 0.3 ," 285,958 "," 2,657 ", 50.4 , 0.3 ," 541,335 "," 4,341 "," 57,075 "," 4,822 ", 10.5 , 0.9 ,,,,,,,,,,,
156,IN,Indiana,5," 573,500 "," 6,937 "," 273,289 "," 4,241 ", 47.7 , 0.5 ," 300,211 "," 4,798 ", 52.3 , 0.5 ," 559,314 "," 7,462 "," 45,920 "," 4,732 ", 8.2 , 0.8 ,,,,,,,,,,,
157,IN,Indiana,6," 549,035 "," 2,722 "," 267,782 "," 2,075 ", 48.8 , 0.3 ," 281,253 "," 1,863 ", 51.2 , 0.3 ," 529,878 "," 3,444 "," 67,700 "," 4,895 ", 12.8 , 0.9 ,,,,,,,,,,,
158,IN,Indiana,7," 521,076 "," 6,956 "," 242,838 "," 4,419 ", 46.6 , 0.6 ," 278,238 "," 5,263 ", 53.4 , 0.6 ," 509,529 "," 7,019 "," 77,616 "," 5,766 ", 15.2 , 1.1 ,,,,,,,,,,,
159,IN,Indiana,8," 549,149 "," 2,287 "," 270,738 "," 1,544 ", 49.3 , 0.2 ," 278,411 "," 1,644 ", 50.7 , 0.2 ," 525,125 "," 3,065 "," 62,903 "," 5,091 ", 12.0 , 1.0 ,,,,,,,,,,,
160,IN,Indiana,9," 575,308 "," 3,657 "," 279,976 "," 2,614 ", 48.7 , 0.3 ," 295,332 "," 2,434 ", 51.3 , 0.3 ," 553,531 "," 3,839 "," 64,247 "," 4,578 ", 11.6 , 0.8 ,,,,,,,,,,,
161,IA,Iowa,1," 580,187 "," 2,876 "," 284,027 "," 2,105 ", 49.0 , 0.2 ," 296,160 "," 1,778 ", 51.0 , 0.2 ," 558,232 "," 3,281 "," 56,396 "," 4,028 ", 10.1 , 0.7 ,,,,,,,,,,,
162,IA,Iowa,2," 581,525 "," 2,670 "," 284,369 "," 1,646 ", 48.9 , 0.2 ," 297,156 "," 1,960 ", 51.1 , 0.2 ," 560,199 "," 3,554 "," 62,112 "," 4,578 ", 11.1 , 0.8 ,,,,,,,,,,,
163,IA,Iowa,3," 601,044 "," 3,898 "," 292,105 "," 2,421 ", 48.6 , 0.2 ," 308,939 "," 2,242 ", 51.4 , 0.2 ," 588,009 "," 3,925 "," 51,444 "," 4,375 ", 8.7 , 0.7 ,,,,,,,,,,,
164,IA,Iowa,4," 564,463 "," 2,859 "," 278,749 "," 1,894 ", 49.4 , 0.2 ," 285,714 "," 1,890 ", 50.6 , 0.2 ," 536,367 "," 3,420 "," 55,271 "," 3,188 ", 10.3 , 0.6 ,,,,,,,,,,,
165,KS,Kansas,1," 502,712 "," 3,509 "," 254,352 "," 2,534 ", 50.6 , 0.3 ," 248,360 "," 2,313 ", 49.4 , 0.3 ," 474,980 "," 3,731 "," 57,226 "," 4,181 ", 12.0 , 0.9 ,,,,,,,,,,,
166,KS,Kansas,2," 538,594 "," 2,980 "," 266,041 "," 2,373 ", 49.4 , 0.4 ," 272,553 "," 2,488 ", 50.6 , 0.4 ," 513,794 "," 3,650 "," 70,225 "," 4,968 ", 13.7 , 0.9 ,,,,,,,,,,,
167,KS,Kansas,3," 534,532 "," 3,744 "," 258,428 "," 2,419 ", 48.3 , 0.2 ," 276,104 "," 2,024 ", 51.7 , 0.2 ," 529,568 "," 3,981 "," 31,937 "," 3,298 ", 6.0 , 0.6 ,,,,,,,,,,,
168,KS,Kansas,4," 515,676 "," 3,192 "," 253,444 "," 2,431 ", 49.1 , 0.3 ," 262,232 "," 1,872 ", 50.9 , 0.3 ," 503,367 "," 3,237 "," 54,144 "," 5,203 ", 10.8 , 1.0 ,,,,,,,,,,,
169,KY,Kentucky,1," 552,530 "," 3,169 "," 269,167 "," 2,530 ", 48.7 , 0.4 ," 283,363 "," 2,605 ", 51.3 , 0.4 ," 528,102 "," 4,279 "," 82,046 "," 5,254 ", 15.5 , 1.0 ,,,,,,,,,,,
170,KY,Kentucky,2," 577,362 "," 4,615 "," 282,075 "," 3,226 ", 48.9 , 0.4 ," 295,287 "," 2,974 ", 51.1 , 0.4 ," 557,689 "," 5,149 "," 78,440 "," 6,055 ", 14.1 , 1.1 ,,,,,,,,,,,
171,KY,Kentucky,3," 553,926 "," 3,786 "," 261,136 "," 2,262 ", 47.1 , 0.2 ," 292,790 "," 2,130 ", 52.9 , 0.2 ," 541,159 "," 4,308 "," 68,708 "," 6,871 ", 12.7 , 1.3 ,,,,,,,,,,,
172,KY,Kentucky,4," 565,232 "," 4,216 "," 277,020 "," 3,121 ", 49.0 , 0.3 ," 288,212 "," 2,604 ", 51.0 , 0.3 ," 551,490 "," 4,794 "," 55,545 "," 4,237 ", 10.1 , 0.8 ,,,,,,,,,,,
173,KY,Kentucky,5," 537,877 "," 3,689 "," 263,796 "," 2,783 ", 49.0 , 0.3 ," 274,081 "," 2,270 ", 51.0 , 0.3 ," 517,228 "," 4,692 "," 124,355 "," 6,900 ", 24.0 , 1.3 ,,,,,,,,,,,
174,KY,Kentucky,6," 581,992 "," 4,750 "," 279,091 "," 3,505 ", 48.0 , 0.4 ," 302,901 "," 3,326 ", 52.0 , 0.4 ," 560,860 "," 5,221 "," 74,703 "," 5,080 ", 13.3 , 0.9 ,,,,,,,,,,,
175,LA,Louisiana,1," 594,231 "," 7,375 "," 282,992 "," 4,735 ", 47.6 , 0.5 ," 311,239 "," 4,459 ", 52.4 , 0.5 ," 582,654 "," 7,475 "," 66,838 "," 6,789 ", 11.5 , 1.1 ,,,,,,,,,,,
176,LA,Louisiana,2," 587,115 "," 8,471 "," 273,178 "," 6,050 ", 46.5 , 0.6 ," 313,937 "," 5,136 ", 53.5 , 0.6 ," 567,296 "," 8,384 "," 113,301 "," 6,082 ", 20.0 , 1.1 ,,,,,,,,,,,
177,LA,Louisiana,3," 577,604 "," 2,928 "," 275,886 "," 1,939 ", 47.8 , 0.2 ," 301,718 "," 1,706 ", 52.2 , 0.2 ," 566,763 "," 3,080 "," 86,760 "," 6,376 ", 15.3 , 1.1 ,,,,,,,,,,,
178,LA,Louisiana,4," 559,310 "," 2,947 "," 272,704 "," 2,032 ", 48.8 , 0.2 ," 286,606 "," 2,006 ", 51.2 , 0.2 ," 540,960 "," 3,650 "," 104,441 "," 6,848 ", 19.3 , 1.3 ,,,,,,,,,,,
179,LA,Louisiana,5," 555,804 "," 4,901 "," 274,214 "," 3,431 ", 49.3 , 0.4 ," 281,590 "," 3,176 ", 50.7 , 0.4 ," 513,602 "," 5,593 "," 103,696 "," 7,241 ", 20.2 , 1.4 ,,,,,,,,,,,
180,LA,Louisiana,6," 585,015 "," 7,251 "," 276,949 "," 4,524 ", 47.3 , 0.5 ," 308,066 "," 5,016 ", 52.7 , 0.5 ," 575,426 "," 7,484 "," 60,246 "," 6,810 ", 10.5 , 1.2 ,,,,,,,,,,,
181,ME,Maine,1," 546,625 "," 3,606 "," 262,366 "," 2,111 ", 48.0 , 0.3 ," 284,259 "," 2,832 ", 52.0 , 0.3 ," 533,126 "," 3,644 "," 46,725 "," 3,660 ", 8.8 , 0.7 ,,,,,,,,,,,
182,ME,Maine,2," 524,036 "," 3,159 "," 256,001 "," 1,903 ", 48.9 , 0.2 ," 268,035 "," 2,046 ", 51.1 , 0.2 ," 509,879 "," 3,122 "," 67,713 "," 3,868 ", 13.3 , 0.8 ,,,,,,,,,,,
183,MD,Maryland,1," 567,926 "," 5,943 "," 274,632 "," 3,572 ", 48.4 , 0.3 ," 293,294 "," 3,492 ", 51.6 , 0.3 ," 552,884 "," 6,568 "," 42,578 "," 4,192 ", 7.7 , 0.8 ,,,,,,,,,,,
184,MD,Maryland,2," 560,167 "," 10,243 "," 260,668 "," 6,027 ", 46.5 , 0.6 ," 299,499 "," 6,329 ", 53.5 , 0.6 ," 543,593 "," 10,338 "," 51,775 "," 5,573 ", 9.5 , 1.0 ,,,,,,,,,,,
185,MD,Maryland,3," 545,892 "," 12,375 "," 264,371 "," 7,192 ", 48.4 , 0.7 ," 281,521 "," 7,306 ", 51.6 , 0.7 ," 528,919 "," 12,548 "," 36,310 "," 3,391 ", 6.9 , 0.6 ,,,,,,,,,,,
186,MD,Maryland,4," 503,398 "," 11,202 "," 233,987 "," 6,750 ", 46.5 , 0.7 ," 269,411 "," 6,363 ", 53.5 , 0.7 ," 499,442 "," 10,788 "," 29,106 "," 3,549 ", 5.8 , 0.7 ,,,,,,,,,,,
187,MD,Maryland,5," 556,897 "," 9,297 "," 266,835 "," 5,993 ", 47.9 , 0.5 ," 290,062 "," 5,047 ", 52.1 , 0.5 ," 538,164 "," 9,303 "," 32,040 "," 3,837 ", 6.0 , 0.7 ,,,,,,,,,,,
188,MD,Maryland,6," 523,698 "," 8,346 "," 256,158 "," 5,437 ", 48.9 , 0.6 ," 267,540 "," 5,119 ", 51.1 , 0.6 ," 503,145 "," 8,828 "," 41,902 "," 3,781 ", 8.3 , 0.7 ,,,,,,,,,,,
189,MD,Maryland,7," 528,398 "," 10,931 "," 244,249 "," 5,649 ", 46.2 , 0.6 ," 284,149 "," 7,121 ", 53.8 , 0.6 ," 509,441 "," 10,915 "," 70,189 "," 5,904 ", 13.8 , 1.1 ,,,,,,,,,,,
190,MD,Maryland,8," 533,774 "," 9,035 "," 255,084 "," 5,546 ", 47.8 , 0.7 ," 278,690 "," 5,904 ", 52.2 , 0.7 ," 525,419 "," 9,117 "," 27,438 "," 3,494 ", 5.2 , 0.6 ,,,,,,,,,,,
191,MA,Massachusetts,1," 568,024 "," 5,218 "," 266,490 "," 3,279 ", 46.9 , 0.4 ," 301,534 "," 3,461 ", 53.1 , 0.4 ," 546,653 "," 5,413 "," 65,836 "," 4,252 ", 12.0 , 0.8 ,,,,,,,,,,,
192,MA,Massachusetts,2," 558,962 "," 8,532 "," 269,755 "," 4,989 ", 48.3 , 0.5 ," 289,207 "," 5,115 ", 51.7 , 0.5 ," 522,617 "," 8,333 "," 45,937 "," 5,184 ", 8.8 , 1.0 ,,,,,,,,,,,
193,MA,Massachusetts,3," 543,580 "," 9,566 "," 267,058 "," 6,455 ", 49.1 , 0.8 ," 276,522 "," 6,323 ", 50.9 , 0.8 ," 529,486 "," 9,633 "," 45,122 "," 4,159 ", 8.5 , 0.8 ,,,,,,,,,,,
194,MA,Massachusetts,4," 559,943 "," 7,776 "," 264,258 "," 4,791 ", 47.2 , 0.6 ," 295,685 "," 5,511 ", 52.8 , 0.6 ," 538,159 "," 8,059 "," 33,098 "," 3,975 ", 6.2 , 0.7 ,,,,,,,,,,,
195,MA,Massachusetts,5," 535,109 "," 10,214 "," 254,313 "," 6,411 ", 47.5 , 0.7 ," 280,796 "," 6,067 ", 52.5 , 0.7 ," 513,186 "," 9,883 "," 30,239 "," 3,810 ", 5.9 , 0.8 ,,,,,,,,,,,
196,MA,Massachusetts,6," 577,241 "," 6,734 "," 273,324 "," 4,356 ", 47.4 , 0.6 ," 303,917 "," 5,037 ", 52.6 , 0.6 ," 562,214 "," 6,523 "," 40,491 "," 4,284 ", 7.2 , 0.8 ,,,,,,,,,,,
197,MA,Massachusetts,7," 558,430 "," 11,033 "," 261,887 "," 6,614 ", 46.9 , 0.8 ," 296,543 "," 7,348 ", 53.1 , 0.8 ," 516,378 "," 10,401 "," 78,640 "," 5,823 ", 15.2 , 1.1 ,,,,,,,,,,,
198,MA,Massachusetts,8," 561,241 "," 10,353 "," 271,141 "," 6,681 ", 48.3 , 0.7 ," 290,100 "," 6,388 ", 51.7 , 0.7 ," 547,326 "," 10,206 "," 34,217 "," 3,560 ", 6.3 , 0.7 ,,,,,,,,,,,
199,MA,Massachusetts,9," 573,274 "," 7,656 "," 272,549 "," 5,197 ", 47.5 , 0.5 ," 300,725 "," 4,618 ", 52.5 , 0.5 ," 562,197 "," 7,834 "," 47,427 "," 4,010 ", 8.4 , 0.7 ,,,,,,,,,,,
200,MI,Michigan,1," 564,858 "," 1,561 "," 286,708 "," 1,510 ", 50.8 , 0.2 ," 278,150 "," 1,247 ", 49.2 , 0.2 ," 546,107 "," 2,800 "," 65,586 "," 4,083 ", 12.0 , 0.7 ,,,,,,,,,,,
201,MI,Michigan,2," 551,323 "," 4,776 "," 270,056 "," 3,683 ", 49.0 , 0.4 ," 281,267 "," 3,012 ", 51.0 , 0.4 ," 534,886 "," 5,042 "," 55,290 "," 4,717 ", 10.3 , 0.9 ,,,,,,,,,,,
202,MI,Michigan,3," 551,028 "," 4,362 "," 269,805 "," 3,619 ", 49.0 , 0.5 ," 281,223 "," 3,351 ", 51.0 , 0.5 ," 537,073 "," 5,122 "," 55,617 "," 3,906 ", 10.4 , 0.7 ,,,,,,,,,,,
203,MI,Michigan,4," 554,938 "," 2,626 "," 275,776 "," 1,716 ", 49.7 , 0.3 ," 279,162 "," 2,124 ", 50.3 , 0.3 ," 531,080 "," 3,327 "," 71,584 "," 3,269 ", 13.5 , 0.6 ,,,,,,,,,,,
